,userId,similar_user_1,similar_user_2,similar_user_3,similar_user_4,similar_user_5
4030,1010.0,1012.0,523.0,468.0,1092.0,1010.0
4050,1011.0,1213.0,1052.0,1104.0,1092.0,1011.0
4056,1012.0,1010.0,150.0,468.0,682.0,1012.0
4069,1013.0,1145.0,1166.0,924.0,63.0,1013.0
4072,1014.0,346.0,24.0,682.0,150.0,1014.0
4086,1016.0,1066.0,191.0,728.0,533.0,1016.0
4092,1017.0,56.0,741.0,682.0,611.0,1017.0
4093,1018.0,346.0,682.0,766.0,971.0,1018.0
4101,1019.0,1119.0,323.0,1117.0,836.0,1019.0
4104,1020.0,319.0,248.0,1010.0,558.0,1020.0
4107,1021.0,56.0,741.0,682.0,611.0,1021.0
4108,1023.0,120.0,682.0,24.0,483.0,1023.0
4110,1025.0,860.0,436.0,1184.0,340.0,1025.0
4117,1026.0,682.0,346.0,1122.0,229.0,1026.0
4121,1027.0,220.0,911.0,1019.0,114.0,1027.0
4122,1029.0,1029.0,98.0,271.0,24.0,1029.0
4128,1030.0,772.0,1156.0,922.0,429.0,1030.0
4133,1031.0,30.0,56.0,1184.0,507.0,1031.0
4138,1032.0,956.0,332.0,1145.0,514.0,1032.0
4139,1033.0,611.0,24.0,120.0,483.0,1033.0
4140,1034.0,261.0,682.0,1010.0,366.0,1034.0
4151,1035.0,724.0,37.0,75.0,1062.0,1035.0
4155,1038.0,346.0,611.0,971.0,120.0,1038.0
4156,1039.0,836.0,191.0,1122.0,971.0,1039.0
4157,1040.0,340.0,567.0,860.0,392.0,1040.0
4165,1041.0,741.0,559.0,733.0,1184.0,1041.0
4184,1044.0,68.0,436.0,269.0,825.0,1044.0
4188,1047.0,429.0,231.0,924.0,392.0,1047.0
4199,1048.0,778.0,702.0,825.0,834.0,1048.0
4206,1051.0,799.0,1136.0,229.0,600.0,1051.0
4218,1052.0,1213.0,468.0,153.0,56.0,1052.0
4223,1053.0,924.0,321.0,1069.0,368.0,1053.0
4228,1054.0,682.0,56.0,24.0,611.0,1054.0
4230,1055.0,325.0,882.0,850.0,201.0,1055.0
4242,1056.0,971.0,400.0,533.0,741.0,1056.0
4247,1060.0,468.0,559.0,1010.0,741.0,1060.0
4259,1061.0,395.0,979.0,418.0,87.0,1061.0
4263,1062.0,1062.0,63.0,1166.0,887.0,1062.0
4272,1063.0,427.0,498.0,1011.0,58.0,1063.0
4273,1065.0,836.0,340.0,544.0,392.0,1065.0
4283,1066.0,1010.0,468.0,741.0,559.0,1066.0
4296,1067.0,1041.0,836.0,1136.0,340.0,1067.0
4303,1069.0,392.0,231.0,1069.0,340.0,1069.0
4321,1070.0,58.0,853.0,80.0,298.0,1070.0
4323,1071.0,1002.0,965.0,507.0,267.0,1071.0
4327,1072.0,567.0,981.0,34.0,340.0,1072.0
